epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,,0.465,0.058,,,,,,,
200,,0.8937,0.023,,,,,,,
10,,,,21,,,,,,
10,,,,,0.014,0.012096774193548387,0.274,0.3064516129032258,,
200,,,,,,,,,0.8987,0.017
200,,0.9258,0.998,,,,,,,
10,,,,25,,,,,,
10,,,,,0.064,0.07331975560081466,0.306,0.2973523421588595,,
200,,,,,,,,,0.9234,1.0
1,,,,47,,,,,,
10,,,,,0.636,0.0814663951120163,0.876,0.24236252545824846,,
